StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
715302907	1186.94	1182.95	0	0	1	1269.74	1098.9	0	0	1
715311294	1191.24	1176.71	0	0	1	1271.77	1121.98	0	0	1
715319656	1223.75	1232.28	0	0	1	1239.76	1059.47	0	0	1
715327896	1212.45	1206.14	0	0	1	1254.21	1071.34	0	0	1
715336284	1237.34	1187.5	0	0	1	1241.96	1049.44	0	0	1
715344644	1193.31	1279.99	0	0	1	1245.16	1035.83	0	0	1
715352916	1183.79	1267.88	0	0	1	1248.88	1046.31	0	0	1
715361279	1197.13	1287.44	0	0	1	1249.45	1011.15	0	0	1
715369663	1188.62	1283.99	0	0	1	1254.3	1028.63	0	0	1
715377895	1192.25	1264.91	0	0	1	1267.13	1052.6	0	0	1
715386297	1193.85	1256.33	0	0	1	1239.56	1013.09	0	0	1
715394645	1179.56	1291.76	0	0	1	1250.99	1007.83	0	0	1
715402908	1181.62	1264.98	0	0	1	1254.65	1004.56	0	0	1
715411269	1202.9	1213.77	0	0	1	1247.14	973.93	0	0	1
715419682	1220.12	1255.92	0	0	1	1270.07	987.2	0	0	1
715427898	1212.12	1243.5	0	0	1	1252.32	1022.39	0	0	1
715436288	1242.17	1181.29	0	0	1	1271.58	1022.45	0	0	1
715444644	1234.18	1085.26	0	0	1	1289.76	1005.33	0	0	1
715452913	1243.62	1182.15	0	0	1	1275.67	1062.79	0	0	1
715461270	1240.35	1208.86	0	0	1	1273.23	1041.59	0	0	1
715469653	1242.9	1243.28	0	0	1	1304.06	1051.9	0	0	1
715477902	1229.17	1222.84	0	0	1	1294.07	1039.75	0	0	1
715486285	1156.74	1262.15	0	0	1	1266.78	1067.97	0	0	1
715494652	1195.77	1270.47	0	0	1	1254.68	1055.01	0	0	1
715502904	1206.51	1258.54	0	0	1	1272.8	1053.85	0	0	1
715511275	1202.11	1226.43	0	0	1	1254.98	1054.22	0	0	1
715519664	1220.02	1195.45	0	0	1	1279.16	1112.06	0	0	1
715527901	1229.17	1231.47	0	0	1	1267.85	1099.54	0	0	1
715536286	1244.63	1205.02	0	0	1	1267.53	1058.84	0	0	1
715544649	1236.95	1245.04	0	0	1	1252.12	1081.24	0	0	1
715552915	1226.54	1169.18	0	0	1	1245.95	1061.97	0	0	1
715561271	1262.36	1166.81	0	0	1	1246.69	1044.67	0	0	1
715569660	1224.25	1150.57	0	0	1	1270.07	1081.68	0	0	1
715577894	1257.76	1155.62	0	0	1	1253.53	1048.62	0	0	1
715586282	1187.92	1167.44	0	0	1	1262.97	1044.53	0	0	1
715594644	1239.19	1136.57	0	0	1	1261.34	1078.88	0	0	1
715602911	1205.82	1222.75	0	0	1	1234.37	1080.4	0	0	1
715611277	1210.66	1223.53	0	0	1	1216.18	1079.67	0	0	1
715619675	1210.97	1240.46	0	0	1	1248.39	1121.96	0	0	1
715627899	1202.91	1215.85	0	0	1	1263.07	1080.1	0	0	1
715636290	1215.57	1169.81	0	0	1	1254.48	1099.34	0	0	1
715644644	1243.47	1185.62	0	0	1	1248.94	1115.11	0	0	1
715652915	1268.87	1155.37	0	0	1	1249.31	1115.03	0	0	1
715661272	1246.15	1221.59	0	0	1	1272.76	1107.5	0	0	1
715669674	1246.13	1147.43	0	0	1	1253.73	1085.3	0	0	1
715677902	1258.73	1168.72	0	0	1	1244.08	1087.32	0	0	1
715686283	1237.94	1165.44	0	0	1	1248.18	1073.54	0	0	1
715694644	1220.37	1171.78	0	0	1	1251.95	1057.45	0	0	1
